code,measured_min_freq_MHz,measured_min_dB
1,86.01503759398496,-24.646005978764997
2,87.91979949874687,-24.523548654355306
3,89.72431077694236,-24.50008551797991
4,91.8295739348371,-23.792459445038396
5,93.8345864661654,-25.354920043880718
6,95.73934837092732,-25.009171819241164
7,97.64411027568923,-24.5794451491283
8,99.64912280701753,-24.36811443506182
9,101.2531328320802,-24.244330505215405
10,102.95739348370927,-25.027585347727985
11,105.06265664160401,-25.220687130721593
12,107.06766917293233,-26.48537548384461
13,108.67167919799499,-24.82606664292396
14,110.07518796992481,-24.966036045482433
15,112.08020050125313,-25.212678916353944
16,113.98496240601503,-25.660406168183005
